site_no,n_obs,mean,sd
01413500,73140,87.90665846322122,24.27632802768867
01414500,57955,49.16165990854974,11.443573980583778
01415000,67733,88.20997150576528,20.25959128839216
01423000,71620,113.62365261100251,30.362526097159137
01427207,81840,83.87619745845552,14.851813730247182
01427510,298402,86.78166701295568,27.015538830427456
01432160,71605,96.84188255010125,41.73510983202036
01433005,21464,99.80385762206485,21.05464902058224
01433500,284242,140.71023634790075,21.04449255221851
01434000,84762,85.27316486161251,13.83761487511165
0143400680,75077,12.061563461512847,2.3229158755906827
01434017,66211,20.16032079261754,13.041382205237435
01434021,77139,13.337572434177265,1.202357598611683
01434025,59912,14.112314728268126,1.6196125775923331
01434498,66280,28.672782136391067,4.874720581990977
01435000,60706,27.58081573485323,4.555971213776802
01436000,69693,29.003816739127316,2.7535490103040616
01436655,69773,285.3029108681008,106.63705844513073
01436690,66398,79.83701316304708,20.88195390432023
01437100,69908,76.6778480288379,27.508670170998062
01437349,42890,141.47076241548146,31.33295632804381
01437400,28655,137.42987262257896,18.262245924215335
01437500,67677,112.7007550571095,29.172395538198284
01438500,36531,98.21296980646574,14.599250263783963
01439500,73057,82.36173125094105,19.860027993318997
01440000,62862,191.2435652699564,46.920527416433096
01440400,70547,67.11864430804995,9.269962217680147
01443500,311,491.7974276527331,7.9867305156381985
01446500,96499,238.54790205079846,39.3432145297243
01451380,72961,329.34055180164745,48.89787083639299
01451400,61714,590.6149820138056,97.64940182968672
01451467,48671,312.80690760411744,80.2119558767746
01451500,73736,476.1234539437995,65.22711922796793
01451630,65749,716.1953337693349,114.69799309972616
01451650,73339,550.7624183585814,83.28097553790771
01451800,75732,209.0306739555274,23.383920765879537
01454700,216887,287.7303618935206,70.74941777380218
01458500,143332,208.9445204141434,46.401844099204304
01463500,118653,201.45678575341543,43.477889039814805
01464290,73515,114.02268924709243,48.484821001422745
01464500,64471,189.79654418265577,41.226064970055226
01465500,99140,481.7464696388945,137.6335260298534
01465798,10146,579.3109599842303,140.63421366213015
01465850,72671,110.02925513616161,18.746923532235815
0146587310,65334,125.3002877521658,11.597459139571344
01465880,58715,230.68893809077747,83.61726598281776
01466500,72441,39.841996935437116,7.7185307568715755
01466900,73012,54.33788966197337,3.7337793660139504
01467000,67552,61.4659521553766,7.180477821311633
01467005,64775,99.70659976842917,18.038683217095812
014670261,98161,231.77388168417193,59.93877199546031
01467042,10601,592.6038109612301,127.95883772335907
01467048,10492,571.5557567670606,141.34229481281986
01467081,71714,674.6441420085339,891.3775925349413
01467086,5173,628.2903537599072,148.87684034203144
01467087,108147,671.3696727602245,369.4792107158279
01467150,61415,414.6431653504844,519.6342277636334
01467200,398986,241.82743504784628,63.61771202292559
01468500,240546,417.28238257963136,104.83976021629175
01473000,102778,345.2079141450505,98.57662138384944
01473169,111507,860.1618553095321,243.91405235601582
01473500,215427,405.7820839541933,93.7100708634938
01473900,5242,714.1652041205647,164.5713256423051
01474000,5294,685.173403853419,172.6181717449295
01474500,55748,406.49382937504487,101.1034338361383
01474703,120454,345.0734388231192,128.64303832624174
01475510,225049,589.6560735662011,306.50315587327214
01475530,91801,611.5400921558588,376.3407994461758
01475548,93677,669.9145147688333,472.7180365136141
01475553,7379,601.9564981704838,197.20961441817056
01477050,313841,399.948391064265,304.6801422591942
01477070,65102,174.32435255445301,16.02504288702172
01477120,55500,230.4585045045045,41.468394795463766
01478000,14019,319.5704401169841,65.36909441084241
01478100,66895,235.63638538007325,26.000859393098352
01478120,72354,386.2469110208143,46.33940558748629
01478137,70735,644.4904926839613,131.67120697322034
01478185,62686,235.30462942283762,25.163672504613913
01478220,61904,258.12215688808476,33.652094601517035
01478245,76409,335.2200918739939,50.97742983382454
01478650,68478,358.6743333625398,49.10603194293995
01478950,77056,329.1785195182724,141.7200448146669
01479000,108266,352.5520754438143,96.97400663743984
01480000,15094,409.96058036305817,48.99698225279939
01480025,10561,375.80996117791875,56.74493836064515
01480617,282508,374.0091466436349,74.26484115551334
01480870,312398,351.2162721912432,68.04410285090151
01481000,317836,336.8470437584163,57.48268029256718
01481500,488286,339.1234276632957,79.69597564285786
01482504,5083,274.14223883533344,19.103439308471305
01482537,5453,286.181734824867,37.7358295054517
01483155,19428,239.12451101502987,11.826619778774681
01483700,22501,164.12181680814186,22.182829295680108
01484100,75398,132.2666383723706,18.52261030074599
403447075331801,64179,791.1366958039234,96.25484327778845
